Splitting,POS,DEP,POS AND DEP,POS AND SEM,DEP AND SEM,POS DEP AND SEM,NC Splitting,NC POS,NC Dep,NC POS AND DEP,NC POS AND SEM,NC DEP AND SEM,NC POS DEP AND SEM,problematic,type,project,lapd
set the associated adapter param adapter the new adapter public void set adapter adapter adapter,set the associated adapter param adapter the new adapter public void set VBN adapter NN adapter NN adapter NN,set the associated adapter root ROOT set det adapter the amod adapter associated dobj set adapter param adapter the new adapter root ROOT adapter compound adapter param det adapter the amod adapter new dep adapter adapter public void set adapter root ROOT set dobj set adapter adapter adapter,set the associated adapter param adapter the new adapter public void set VBN adapter NN adapter NN adapter NN set the associated adapter root ROOT set det adapter the amod adapter associated dobj set adapter param adapter the new adapter root ROOT adapter compound adapter param det adapter the amod adapter new dep adapter adapter public void set adapter root ROOT set dobj set adapter adapter adapter,set the associated adapter param adapter the new adapter public void set VBN adapter NN adapter NN adapter NN,set the associated adapter root ROOT set det adapter the amod adapter associated dobj set adapter param adapter the new adapter root ROOT adapter compound adapter param det adapter the amod adapter new dep adapter adapter public void set adapter root ROOT set dobj set adapter adapter adapter,set the associated adapter param adapter the new adapter public void set VBN adapter NN adapter NN adapter NN set the associated adapter root ROOT set det adapter the amod adapter associated dobj set adapter param adapter the new adapter root ROOT adapter compound adapter param det adapter the amod adapter new dep adapter adapter public void set adapter root ROOT set dobj set adapter adapter adapter,public void set adapter adapter adapter,public void set VBN adapter NN adapter NN adapter NN,public void set adapter root ROOT set dobj set adapter adapter adapter,public void set VBN adapter NN adapter NN adapter NN public void set adapter root ROOT set dobj set adapter adapter adapter,public void set VBN adapter NN adapter NN adapter NN,public void set adapter root ROOT set dobj set adapter adapter adapter,public void set VBN adapter NN adapter NN adapter NN public void set adapter root ROOT set dobj set adapter adapter adapter,0,NA,tomcat,TN
update the current error state to the new error state if the new error state is more severe than the current error state param error state the error status details param t the error which occurred protected void set error state error state error state throwable t,update the current error state to the new error state if the new error state is more severe than the current error state param error state the error status details param t the error which occurred protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN,update the current error state to the new error state if the new error root ROOT update det state the amod state current compound state error dobj update state case state to det state the amod state new compound state error nmod to update state dep update if det error the amod error new dep if error state is more severe than the current error state root ROOT severe nsubj severe state cop severe is advmod severe more case state than det state the amod state current compound state error nmod than severe state param error state the error status details root ROOT state compound state param compound state error det details the compound details error compound details status dep state details param t the error which occurred root ROOT t compound t param det error the dep t error nsubj occurred error ref error which acl relcl error occurred protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,update the current error state to the new error state if the new error state is more severe than the current error state param error state the error status details param t the error which occurred protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN update the current error state to the new error state if the new error root ROOT update det state the amod state current compound state error dobj update state case state to det state the amod state new compound state error nmod to update state dep update if det error the amod error new dep if error state is more severe than the current error state root ROOT severe nsubj severe state cop severe is advmod severe more case state than det state the amod state current compound state error nmod than severe state param error state the error status details root ROOT state compound state param compound state error det details the compound details error compound details status dep state details param t the error which occurred root ROOT t compound t param det error the dep t error nsubj occurred error ref error which acl relcl error occurred protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,update the current error state to the new error state if the new error state is more severe than the current error state param error state the error status details param t the error which occurred protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN,update the current error state to the new error state if the new error root ROOT update det state the amod state current compound state error dobj update state case state to det state the amod state new compound state error nmod to update state dep update if det error the amod error new dep if error state is more severe than the current error state root ROOT severe nsubj severe state cop severe is advmod severe more case state than det state the amod state current compound state error nmod than severe state param error state the error status details root ROOT state compound state param compound state error det details the compound details error compound details status dep state details param t the error which occurred root ROOT t compound t param det error the dep t error nsubj occurred error ref error which acl relcl error occurred protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,update the current error state to the new error state if the new error state is more severe than the current error state param error state the error status details param t the error which occurred protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN update the current error state to the new error state if the new error root ROOT update det state the amod state current compound state error dobj update state case state to det state the amod state new compound state error nmod to update state dep update if det error the amod error new dep if error state is more severe than the current error state root ROOT severe nsubj severe state cop severe is advmod severe more case state than det state the amod state current compound state error nmod than severe state param error state the error status details root ROOT state compound state param compound state error det details the compound details error compound details status dep state details param t the error which occurred root ROOT t compound t param det error the dep t error nsubj occurred error ref error which acl relcl error occurred protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,protected void set error state error state error state throwable t,protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN,protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN,protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,protected void set VBN error NN state NN error NN state NN error NN state NN throwable JJ t NN protected void set error state root ROOT set compound state error dobj set state error state root ROOT state compound state error error state root ROOT state compound state error throwable t,0,NA,tomcat,TN
public abstract processor abstract endpoint endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN,public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN,public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract processor abstract endpoint endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN,public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN,public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,public abstract JJ processor NN abstract JJ endpoint NN endpoint NN public abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint,0,NA,tomcat,TN
error state for the request response currently being processed private error state error state error state none,error state for the request response currently being processed private error NN state NN error NN state NN error NN state NN none NN,error state for the request response currently being processed root ROOT processed compound state error nsubjpass processed state case response for det response the compound response request nmod for state response advmod processed currently auxpass processed being private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,error state for the request response currently being processed private error NN state NN error NN state NN error NN state NN none NN error state for the request response currently being processed root ROOT processed compound state error nsubjpass processed state case response for det response the compound response request nmod for state response advmod processed currently auxpass processed being private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,error state for the request response currently being processed private error NN state NN error NN state NN error NN state NN none NN,error state for the request response currently being processed root ROOT processed compound state error nsubjpass processed state case response for det response the compound response request nmod for state response advmod processed currently auxpass processed being private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,error state for the request response currently being processed private error NN state NN error NN state NN error NN state NN none NN error state for the request response currently being processed root ROOT processed compound state error nsubjpass processed state case response for det response the compound response request nmod for state response advmod processed currently auxpass processed being private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,private error state error state error state none,private error NN state NN error NN state NN error NN state NN none NN,private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,private error NN state NN error NN state NN error NN state NN none NN private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,private error NN state NN error NN state NN error NN state NN none NN,private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,private error NN state NN error NN state NN error NN state NN none NN private error state root ROOT state compound state error error state root ROOT state compound state error error state none root ROOT none compound none error compound none state,0,NA,tomcat,TN
override public boolean is async,override NN public boolean is VBZ async NN,override public boolean is async root ROOT async cop async is,override NN public boolean is VBZ async NN override public boolean is async root ROOT async cop async is,override NN public boolean is VBZ async NN,override public boolean is async root ROOT async cop async is,override NN public boolean is VBZ async NN override public boolean is async root ROOT async cop async is,override public boolean is async,override NN public boolean is VBZ async NN,override public boolean is async root ROOT async cop async is,override NN public boolean is VBZ async NN override public boolean is async root ROOT async cop async is,override NN public boolean is VBZ async NN,override public boolean is async root ROOT async cop async is,override NN public boolean is VBZ async NN override public boolean is async root ROOT async cop async is,0,NA,tomcat,TN
return the executor used by the underlying endpoint protected executor get executor,return the executor used by the underlying endpoint protected executor NN get VB executor NN,return the executor used by the underlying endpoint root ROOT return det executor the dobj return executor acl executor used case endpoint by det endpoint the amod endpoint underlying nmod by used endpoint protected executor get executor root ROOT get dobj get executor,return the executor used by the underlying endpoint protected executor NN get VB executor NN return the executor used by the underlying endpoint root ROOT return det executor the dobj return executor acl executor used case endpoint by det endpoint the amod endpoint underlying nmod by used endpoint protected executor get executor root ROOT get dobj get executor,return the executor used by the underlying endpoint protected executor NN get VB executor NN,return the executor used by the underlying endpoint root ROOT return det executor the dobj return executor acl executor used case endpoint by det endpoint the amod endpoint underlying nmod by used endpoint protected executor get executor root ROOT get dobj get executor,return the executor used by the underlying endpoint protected executor NN get VB executor NN return the executor used by the underlying endpoint root ROOT return det executor the dobj return executor acl executor used case endpoint by det endpoint the amod endpoint underlying nmod by used endpoint protected executor get executor root ROOT get dobj get executor,protected executor get executor,protected executor NN get VB executor NN,protected executor get executor root ROOT get dobj get executor,protected executor NN get VB executor NN protected executor get executor root ROOT get dobj get executor,protected executor NN get VB executor NN,protected executor get executor root ROOT get dobj get executor,protected executor NN get VB executor NN protected executor get executor root ROOT get dobj get executor,0,NA,tomcat,TN
private abstract processor abstract endpoint endpoint request coyote request response coyote response,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN,private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN,private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract processor abstract endpoint endpoint request coyote request response coyote response,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN,private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN,private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,private abstract JJ processor NN abstract JJ endpoint NN endpoint NN request NN coyote NN request NN response NN coyote NN response NN private abstract processor root ROOT processor amod processor abstract abstract endpoint root ROOT endpoint amod endpoint abstract endpoint request coyote request root ROOT request compound request coyote response coyote response root ROOT response compound response coyote,0,NA,tomcat,TN
public void action action code action code object param,public void action NN action NN code NN action NN code NN object NN param NN,public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action NN action NN code NN action NN code NN object NN param NN public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action NN action NN code NN action NN code NN object NN param NN,public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action NN action NN code NN action NN code NN object NN param NN public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action action code action code object param,public void action NN action NN code NN action NN code NN object NN param NN,public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action NN action NN code NN action NN code NN object NN param NN public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action NN action NN code NN action NN code NN object NN param NN,public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,public void action NN action NN code NN action NN code NN object NN param NN public void action action code root ROOT code compound code action action code root ROOT code compound code action object param,0,NA,tomcat,TN
public response get response,public response NN get VB response NN,public response get response root ROOT get dobj get response,public response NN get VB response NN public response get response root ROOT get dobj get response,public response NN get VB response NN,public response get response root ROOT get dobj get response,public response NN get VB response NN public response get response root ROOT get dobj get response,public response get response,public response NN get VB response NN,public response get response root ROOT get dobj get response,public response NN get VB response NN public response get response root ROOT get dobj get response,public response NN get VB response NN,public response get response root ROOT get dobj get response,public response NN get VB response NN public response get response root ROOT get dobj get response,0,NA,tomcat,TN
public message bytes content type,public message NN bytes NNS content JJ type NN,public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message NN bytes NNS content JJ type NN public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message NN bytes NNS content JJ type NN,public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message NN bytes NNS content JJ type NN public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message bytes content type,public message NN bytes NNS content JJ type NN,public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message NN bytes NNS content JJ type NN public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message NN bytes NNS content JJ type NN,public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,public message NN bytes NNS content JJ type NN public message bytes root ROOT bytes compound bytes message content type root ROOT type amod type content,0,NA,tomcat,TN
public message bytes remote addr,public message NN bytes NNS remote JJ addr NN,public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message NN bytes NNS remote JJ addr NN public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message NN bytes NNS remote JJ addr NN,public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message NN bytes NNS remote JJ addr NN public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message bytes remote addr,public message NN bytes NNS remote JJ addr NN,public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message NN bytes NNS remote JJ addr NN public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message NN bytes NNS remote JJ addr NN,public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,public message NN bytes NNS remote JJ addr NN public message bytes root ROOT bytes compound bytes message remote addr root ROOT addr amod addr remote,0,NA,tomcat,TN
public void set read listener read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN,public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN,public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set read listener read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN,public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN,public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,public void set VBN read NN listener NN read VB listener NN listener NN public void set read listener root ROOT set compound listener read dobj set listener read listener root ROOT read dobj read listener listener,0,NA,tomcat,TN
is there an expectation private boolean expectation false,is there an expectation private boolean expectation NN false JJ,is there an expectation root ROOT is expl is there det expectation an nsubj is expectation private boolean expectation false,is there an expectation private boolean expectation NN false JJ is there an expectation root ROOT is expl is there det expectation an nsubj is expectation private boolean expectation false,is there an expectation private boolean expectation NN false JJ,is there an expectation root ROOT is expl is there det expectation an nsubj is expectation private boolean expectation false,is there an expectation private boolean expectation NN false JJ is there an expectation root ROOT is expl is there det expectation an nsubj is expectation private boolean expectation false,private boolean expectation false,private boolean expectation NN false JJ,private boolean expectation false,private boolean expectation NN false JJ private boolean expectation false,private boolean expectation NN false JJ,private boolean expectation false,private boolean expectation NN false JJ private boolean expectation false,0,NA,tomcat,TN
http specific fields remove them http specific fields remove them private long content length,http specific fields remove them http specific fields remove them private long content JJ length NN,http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them private long content length root ROOT length amod length content,http specific fields remove them http specific fields remove them private long content JJ length NN http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them private long content length root ROOT length amod length content,http specific fields remove them http specific fields remove them private long content JJ length NN,http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them private long content length root ROOT length amod length content,http specific fields remove them http specific fields remove them private long content JJ length NN http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them http specific fields remove them root ROOT remove compound fields http amod fields specific nsubj remove fields dobj remove them private long content length root ROOT length amod length content,private long content length,private long content JJ length NN,private long content length root ROOT length amod length content,private long content JJ length NN private long content length root ROOT length amod length content,private long content JJ length NN,private long content length root ROOT length amod length content,private long content JJ length NN private long content length root ROOT length amod length content,0,NA,tomcat,TN
url decoder private final u decoder url decoder new u decoder,url decoder private final u NN decoder NN url NN decoder NN new u NN decoder NN,url decoder root ROOT decoder compound decoder url private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,url decoder private final u NN decoder NN url NN decoder NN new u NN decoder NN url decoder root ROOT decoder compound decoder url private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,url decoder private final u NN decoder NN url NN decoder NN new u NN decoder NN,url decoder root ROOT decoder compound decoder url private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,url decoder private final u NN decoder NN url NN decoder NN new u NN decoder NN url decoder root ROOT decoder compound decoder url private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,private final u decoder url decoder new u decoder,private final u NN decoder NN url NN decoder NN new u NN decoder NN,private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,private final u NN decoder NN url NN decoder NN new u NN decoder NN private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,private final u NN decoder NN url NN decoder NN new u NN decoder NN,private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,private final u NN decoder NN url NN decoder NN new u NN decoder NN private final u decoder root ROOT decoder compound decoder u url decoder root ROOT decoder compound decoder url new u decoder root ROOT decoder compound decoder u,0,NA,tomcat,TN
path parameters private final map string string path parameters new hash map,path parameters private final map NN string NN string NN path NN parameters NNS new hash VB map NN,path parameters root ROOT parameters compound parameters path private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,path parameters private final map NN string NN string NN path NN parameters NNS new hash VB map NN path parameters root ROOT parameters compound parameters path private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,path parameters private final map NN string NN string NN path NN parameters NNS new hash VB map NN,path parameters root ROOT parameters compound parameters path private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,path parameters private final map NN string NN string NN path NN parameters NNS new hash VB map NN path parameters root ROOT parameters compound parameters path private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,private final map string string path parameters new hash map,private final map NN string NN string NN path NN parameters NNS new hash VB map NN, private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,private final map NN string NN string NN path NN parameters NNS new hash VB map NN private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,private final map NN string NN string NN path NN parameters NNS new hash VB map NN,private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,private final map NN string NN string NN path NN parameters NNS new hash VB map NN  private final map string string path parameters root ROOT parameters compound parameters path new hash map root ROOT hash dobj hash map,0,NA,tomcat,TN
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
